match_id,date,season,team,opponent,won_match,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
598006,9/04/2013,2013,Mumbai Indians,Delhi Daredevils,1,2,1,0.5,0,0.5,0,0,0,0,0,1,1,1,1
598048,9/04/2013,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
598048,9/04/2013,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
598007,10/04/2013,2013,Chennai Super Kings,Kings XI Punjab,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
598007,10/04/2013,2013,Kings XI Punjab,Chennai Super Kings,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1
598008,11/04/2013,2013,Kolkata Knight Riders,Royal Challengers Bangalore,0,2,1,0.5,1,0,0,0,0,0,0,0,1,1,0
598008,11/04/2013,2013,Royal Challengers Bangalore,Kolkata Knight Riders,1,2,2,1,1,0,0,0,0,0,0,1,1,0,1
598009,11/04/2013,2013,Pune Warriors,Rajasthan Royals,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
598009,11/04/2013,2013,Rajasthan Royals,Pune Warriors,0,2,2,1,1,1,0,0,0,0,0,1,0,1,0
598010,12/04/2013,2013,Delhi Daredevils,Sunrisers Hyderabad,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1
598010,12/04/2013,2013,Sunrisers Hyderabad,Delhi Daredevils,1,2,1,0.5,0,0.5,0,0,0,0,0,0,1,0,0
598011,13/04/2013,2013,Mumbai Indians,Pune Warriors,1,3,2,0.666666667,1,0.5,0,0,0,0,2,1,1,1,1
598011,13/04/2013,2013,Pune Warriors,Mumbai Indians,0,3,1,0.333333333,0,0.333333333,0,0,0,0,1,0,1,0,0
598012,13/04/2013,2013,Chennai Super Kings,Royal Challengers Bangalore,1,2,1,0.5,0,1,0,0,0,0,0,1,1,0,1
598012,13/04/2013,2013,Royal Challengers Bangalore,Chennai Super Kings,0,3,3,1,1,0,0,0,0,0,3,0,1,1,0
598013,14/04/2013,2013,Kolkata Knight Riders,Sunrisers Hyderabad,1,3,1,0.333333333,1,0,0,0,0,0,1,1,1,1,1
598013,14/04/2013,2013,Sunrisers Hyderabad,Kolkata Knight Riders,0,3,2,0.666666667,0,0.666666667,0,0,0,0,2,0,1,0,0
598014,14/04/2013,2013,Kings XI Punjab,Rajasthan Royals,0,2,1,0.5,0,1,0,0,0,0,0,0,1,1,0
598014,14/04/2013,2013,Rajasthan Royals,Kings XI Punjab,1,3,2,0.666666667,1,0.5,0,0,0,0,2,1,1,0,1
598015,15/04/2013,2013,Chennai Super Kings,Pune Warriors,0,3,2,0.666666667,0.5,1,0,0,0,0,2,0,0,0,1
598015,15/04/2013,2013,Pune Warriors,Chennai Super Kings,1,4,1,0.25,0,0.25,0,0,0,0,1,1,0,1,0
598016,16/04/2013,2013,Kings XI Punjab,Kolkata Knight Riders,1,3,1,0.333333333,0,0.5,0,0,0,0,1,0,0,1,1
598016,16/04/2013,2013,Kolkata Knight Riders,Kings XI Punjab,0,4,2,0.5,1,0,0,0,0,0,1,1,0,0,0
598018,17/04/2013,2013,Pune Warriors,Sunrisers Hyderabad,0,5,2,0.4,0,0.4,0,0,0,0,2,1,0,0,0
598018,17/04/2013,2013,Sunrisers Hyderabad,Pune Warriors,1,4,2,0.5,0,0.5,0,0,0,0,1,0,0,1,0
598019,17/04/2013,2013,Mumbai Indians,Rajasthan Royals,0,4,3,0.75,1,0.5,0,0,0,0,3,0,1,0,0
598019,17/04/2013,2013,Rajasthan Royals,Mumbai Indians,1,4,3,0.75,1,0.5,0,0,0,0,2,1,1,1,1
598020,18/04/2013,2013,Chennai Super Kings,Delhi Daredevils,1,4,2,0.5,0.333333333,1,0,0,0,0,2,1,0,1,0
598020,18/04/2013,2013,Delhi Daredevils,Chennai Super Kings,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
598021,19/04/2013,2013,Kings XI Punjab,Sunrisers Hyderabad,0,4,2,0.5,0.5,0.5,0,0,0,0,1,1,0,1,0
598021,19/04/2013,2013,Sunrisers Hyderabad,Kings XI Punjab,1,5,3,0.6,0,0.6,0,0,0,0,2,0,0,0,0
598022,20/04/2013,2013,Chennai Super Kings,Kolkata Knight Riders,1,5,3,0.6,0.333333333,1,0,0,0,0,2,0,1,0,0
598022,20/04/2013,2013,Kolkata Knight Riders,Chennai Super Kings,0,5,2,0.4,1,0,0,0,0,0,1,1,1,1,1
598023,20/04/2013,2013,Rajasthan Royals,Royal Challengers Bangalore,0,5,4,0.8,1,0.5,0,0,0,0,2,0,1,1,0
598023,20/04/2013,2013,Royal Challengers Bangalore,Rajasthan Royals,1,4,3,0.75,1,0,0,0,0,0,2,1,1,0,1
598024,21/04/2013,2013,Delhi Daredevils,Mumbai Indians,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
598024,21/04/2013,2013,Mumbai Indians,Delhi Daredevils,0,5,3,0.6,1,0.333333333,0,0,0,0,2,1,0,1,0
598025,21/04/2013,2013,Kings XI Punjab,Pune Warriors,1,5,2,0.4,0.5,0.333333333,0,0,0,0,1,1,1,0,1
598025,21/04/2013,2013,Pune Warriors,Kings XI Punjab,0,6,2,0.333333333,0,0.333333333,0,0,0,0,1,0,1,1,0
598026,22/04/2013,2013,Chennai Super Kings,Rajasthan Royals,1,6,4,0.666666667,0.333333333,1,0,0,0,0,2,0,0,0,1
598026,22/04/2013,2013,Rajasthan Royals,Chennai Super Kings,0,6,4,0.666666667,1,0.333333333,0,0,0,0,2,1,0,1,0
598027,23/04/2013,2013,Pune Warriors,Royal Challengers Bangalore,0,7,2,0.285714286,0,0.285714286,0,0,0,0,1,1,0,0,0
598027,23/04/2013,2013,Royal Challengers Bangalore,Pune Warriors,1,5,4,0.8,1,0,0,0,0,0,2,0,0,1,1
598059,23/04/2013,2013,Delhi Daredevils,Kings XI Punjab,0,6,1,0.166666667,0.25,0,0,0,0,0,1,0,0,1,1
598059,23/04/2013,2013,Kings XI Punjab,Delhi Daredevils,1,6,3,0.5,0.666666667,0.333333333,0,0,0,0,2,1,0,0,0
598029,24/04/2013,2013,Kolkata Knight Riders,Mumbai Indians,0,6,2,0.333333333,0.666666667,0,0,0,0,0,1,1,1,1,1
598029,24/04/2013,2013,Mumbai Indians,Kolkata Knight Riders,1,6,3,0.5,1,0.25,0,0,0,0,1,0,1,0,0
598030,25/04/2013,2013,Chennai Super Kings,Sunrisers Hyderabad,1,7,5,0.714285714,0.5,1,0,0,0,0,3,0,0,0,1
598030,25/04/2013,2013,Sunrisers Hyderabad,Chennai Super Kings,0,6,4,0.666666667,0,0.666666667,0,0,0,0,2,1,0,1,0
598031,26/04/2013,2013,Kings XI Punjab,Kolkata Knight Riders,0,7,4,0.571428571,0.666666667,0.5,0,0,0,0,2,1,0,1,0
598031,26/04/2013,2013,Kolkata Knight Riders,Kings XI Punjab,1,7,2,0.285714286,0.5,0,0,0,0,0,0,0,0,0,1
598032,27/04/2013,2013,Rajasthan Royals,Sunrisers Hyderabad,1,7,4,0.571428571,1,0.25,0,0,0,0,1,0,0,0,1
598032,27/04/2013,2013,Sunrisers Hyderabad,Rajasthan Royals,0,7,4,0.571428571,0,0.571428571,0,0,0,0,2,1,0,1,0
598033,27/04/2013,2013,Mumbai Indians,Royal Challengers Bangalore,1,7,4,0.571428571,1,0.4,0,0,0,0,1,1,1,1,1
598033,27/04/2013,2013,Royal Challengers Bangalore,Mumbai Indians,0,6,5,0.833333333,1,0,0,0,0,0,2,0,1,0,0
598034,28/04/2013,2013,Chennai Super Kings,Kolkata Knight Riders,1,8,6,0.75,0.6,1,0,0,0,0,3,0,0,1,1
598034,28/04/2013,2013,Kolkata Knight Riders,Chennai Super Kings,0,8,3,0.375,0.6,0,0,0,0,0,1,1,0,0,0
598035,28/04/2013,2013,Delhi Daredevils,Pune Warriors,1,7,1,0.142857143,0.2,0,0,0,0,0,1,0,0,1,1
598035,28/04/2013,2013,Pune Warriors,Delhi Daredevils,0,8,2,0.25,0,0.25,0,0,0,0,0,1,0,0,0
598036,29/04/2013,2013,Rajasthan Royals,Royal Challengers Bangalore,1,8,5,0.625,1,0.25,0,0,0,0,1,1,1,0,1
598036,29/04/2013,2013,Royal Challengers Bangalore,Rajasthan Royals,0,7,5,0.714285714,1,0,0,0,0,0,2,0,1,1,0
598037,29/04/2013,2013,Kings XI Punjab,Mumbai Indians,0,8,4,0.5,0.666666667,0.4,0,0,0,0,2,0,1,0,0
598037,29/04/2013,2013,Mumbai Indians,Kings XI Punjab,1,8,5,0.625,1,0.4,0,0,0,0,2,1,1,1,1
598038,30/04/2013,2013,Chennai Super Kings,Pune Warriors,1,9,7,0.777777778,0.666666667,1,0,0,0,0,3,1,0,1,0
598038,30/04/2013,2013,Pune Warriors,Chennai Super Kings,0,9,2,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0,0
598039,1/05/2013,2013,Mumbai Indians,Sunrisers Hyderabad,0,9,6,0.666666667,1,0.4,0,0,0,0,3,1,0,1,0
598039,1/05/2013,2013,Sunrisers Hyderabad,Mumbai Indians,1,8,4,0.5,0,0.5,0,0,0,0,1,0,0,0,0
598040,1/05/2013,2013,Delhi Daredevils,Kolkata Knight Riders,1,8,2,0.25,0.333333333,0,0,0,0,0,2,0,0,0,1
598040,1/05/2013,2013,Kolkata Knight Riders,Delhi Daredevils,0,9,3,0.333333333,0.6,0,0,0,0,0,1,1,0,1,0
598041,2/05/2013,2013,Chennai Super Kings,Kings XI Punjab,1,10,8,0.8,0.666666667,1,0,0,0,0,3,1,1,1,1
598041,2/05/2013,2013,Kings XI Punjab,Chennai Super Kings,0,9,4,0.444444444,0.666666667,0.333333333,0,0,0,0,1,0,1,0,0
598042,2/05/2013,2013,Pune Warriors,Royal Challengers Bangalore,0,10,2,0.2,0,0.2,0,0,0,0,0,0,0,0,0
598042,2/05/2013,2013,Royal Challengers Bangalore,Pune Warriors,1,8,5,0.625,1,0,0,0,0,0,1,1,0,1,0
598043,3/05/2013,2013,Kolkata Knight Riders,Rajasthan Royals,1,10,3,0.3,0.6,0,0,0,0,0,1,0,0,0,1
598043,3/05/2013,2013,Rajasthan Royals,Kolkata Knight Riders,0,9,6,0.666666667,1,0.25,0,0,0,0,2,1,0,1,0
598044,4/05/2013,2013,Delhi Daredevils,Sunrisers Hyderabad,0,9,3,0.333333333,0.428571429,0,0,0,0,0,2,1,0,1,0
598044,4/05/2013,2013,Sunrisers Hyderabad,Delhi Daredevils,1,9,5,0.555555556,0,0.555555556,0,0,0,0,1,0,0,0,0
598046,5/05/2013,2013,Chennai Super Kings,Mumbai Indians,0,11,9,0.818181818,0.714285714,1,0,0,0,0,3,0,1,0,0
598046,5/05/2013,2013,Mumbai Indians,Chennai Super Kings,1,10,6,0.6,1,0.333333333,0,0,0,0,2,1,1,1,1
598047,5/05/2013,2013,Pune Warriors,Rajasthan Royals,0,11,2,0.181818182,0,0.181818182,0,0,0,0,0,1,0,1,0
598047,5/05/2013,2013,Rajasthan Royals,Pune Warriors,1,10,6,0.6,1,0.2,0,0,0,0,2,0,0,0,1
598064,6/05/2013,2013,Kings XI Punjab,Royal Challengers Bangalore,1,10,4,0.4,0.666666667,0.285714286,0,0,0,0,0,1,1,0,1
598064,6/05/2013,2013,Royal Challengers Bangalore,Kings XI Punjab,0,9,6,0.666666667,1,0.25,0,0,0,0,1,0,1,1,0
598049,7/05/2013,2013,Delhi Daredevils,Rajasthan Royals,0,10,3,0.3,0.428571429,0,0,0,0,0,2,1,0,1,0
598049,7/05/2013,2013,Rajasthan Royals,Delhi Daredevils,1,11,7,0.636363636,1,0.2,0,0,0,0,2,0,0,0,1
598050,7/05/2013,2013,Kolkata Knight Riders,Mumbai Indians,0,11,4,0.363636364,0.666666667,0,0,0,0,0,1,0,1,0,0
598050,7/05/2013,2013,Mumbai Indians,Kolkata Knight Riders,1,11,7,0.636363636,1,0.333333333,0,0,0,0,2,1,1,1,1
598051,8/05/2013,2013,Chennai Super Kings,Sunrisers Hyderabad,1,12,9,0.75,0.714285714,0.8,0,0,0,0,2,0,0,1,0
598051,8/05/2013,2013,Sunrisers Hyderabad,Chennai Super Kings,0,10,6,0.6,0,0.6,0,0,0,0,2,1,0,0,0
598052,9/05/2013,2013,Kings XI Punjab,Rajasthan Royals,0,11,5,0.454545455,0.75,0.285714286,0,0,0,0,1,0,0,1,1
598052,9/05/2013,2013,Rajasthan Royals,Kings XI Punjab,1,12,8,0.666666667,1,0.2,0,0,0,0,2,1,0,0,0
598053,9/05/2013,2013,Kolkata Knight Riders,Pune Warriors,1,12,4,0.333333333,0.666666667,0,0,0,0,0,1,1,0,1,0
598053,9/05/2013,2013,Pune Warriors,Kolkata Knight Riders,0,12,2,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0
598054,10/05/2013,2013,Delhi Daredevils,Royal Challengers Bangalore,0,11,3,0.272727273,0.428571429,0,0,0,0,0,1,1,1,0,1
598054,10/05/2013,2013,Royal Challengers Bangalore,Delhi Daredevils,1,10,6,0.6,1,0.2,0,0,0,0,1,0,1,1,0
